XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR
cyclofenil	6.13	364.43512342822	1	6	3.55	2	20	3	29	0	51	12	12	5.2414	27.47227396	104.3424
cyclopenthiazide	2.218	379.885337122754	0	3	1.79	0	15	3	25	0	41	6	6	1.8002	3.24072004	88.9701
cyclopentolate	2.387	291.183443660001	0	7	2.89	2	6	7	22	1	46	6	6	0.869400000000001	0.755856360000001	78.8206
cyclophosphamide	0.835	260.02481971	0	5	1.46	2	5	7	14	0	29	0	0	0.084099999999999	0.00707280999999984	55.7243
cycloserine	-0.915	102.042927432	0	0	1.35	0	4	0	7	1	13	0	0	-1.6843	2.83686649	21.3177
cyclosporine	8.407	1201.841367992	3	15	5.75	6	3	7	85	0	196	0	0	-3.12140000000002	9.74313796000011	318.9594
cyproheptadine	4.685	287.167399672001	0	0	3.66	0	16	0	25	1	43	12	12	4.2311	17.90220721	95.3921
cyproterone	2.542	374.164872404001	0	1	3.44	0	6	3	30	0	53	0	0	0.893199999999999	0.797806239999998	102.2868
cysteamine	0.106	77.029920224	0	1	1.46	2	0	4	3	1	11	0	0	-0.2157	0.0465264899999999	22.3381
cysteine	-2.575	121.019749464	0	2	1.35	3	3	5	6	1	14	0	0	-0.6242	0.38962564	28.168
cystine	-3.312	240.023848864	0	7	1.24	3	3	10	13	2	26	0	0	-1.0892	1.18635664	54.5398
cytarabine	-2.193	243.085520516	0	2	1.57	0	8	2	18	0	30	6	6	-1.3956	1.94769936	52.7985
cytarabine_liposome	-2.193	243.216987129782	0	2	1.57	0	8	2	18	0	30	0	0	-2.3958	5.73985764	54.6978
cytosine	-2.436	273.0960852	0	2	1.57	0	8	2	20	0	34	6	6	-2.2586	5.10127396	58.325
dabigatran	2.726	471.201887660001	0	10	3.11	3	18	7	38	2	60	22	21	2.2542	5.08141764	129.8881
dabigatran_etexilate	5.718	627.316917412001	3	19	3.88	6	18	11	49	2	87	22	21	1.7999	3.23964001	167.7371
dabrafenib	3.912	519.101051540001	0	6	2.67	0	28	3	38	0	55	23	23	5.4443	29.64040249	131.1953
dacarbazine	-1.078	182.09160894	0	3	1.35	0	11	4	13	0	23	5	5	-0.1273	0.0162052900000001	48.1106
daclatasvir	6.138	810.338686744002	3	17	4.1	4	22	7	59	0	108	22	22	1.6398	2.68894403999999	192.5444
dactinomycin	2.713	1254.628474672	1	10	5.2	0	22	3	96	0	176	15	14	-3.87709999999999	15.0319044099999	308.1866
dalbavancin	8.197	1816.69507949859	5	24	6.74	11	21	12	140	2	228	42	42	5.29719999999999	28.0603278399999	450.241
dalfampridine	-0.047	94.053098192	0	0	1.79	0	7	0	7	0	13	6	6	-0.0672	0.00451584	28.6015
dalfopristin	1.702	690.329850180001	1	7	3.66	2	8	7	50	1	98	5	5	0.355699999999997	0.126522489999998	179.6549
danazol	4.55	337.204179104001	0	0	3.55	0	7	2	29	0	52	5	5	2.3289	5.42377521	96.5188
danthron	2.296	240.042258736	0	0	2.56	0	18	0	20	0	26	12	12	2.401	5.764801	64.4641
dantrolene	1.688	314.06511942	0	4	2.01	0	22	3	25	0	33	11	11	2.5908	6.71224464	72.8038
dapagliflozin	2.937	408.133966200001	0	6	3	2	7	3	30	0	53	12	12	2.4389	5.94823321	104.4002
dapsone	0.861	248.061948624	0	2	2.23	0	17	3	18	0	29	12	12	1.8586	3.45439396	66.3222
daptomycin	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
darifenacin	4.537	426.230728200001	0	7	4.1	2	7	3	36	1	62	18	18	3.8476	14.80402576	123.4486
darunavir	2.2	593.277086336001	2	13	3.33	4	11	10	43	0	84	12	12	0.860700000000004	0.740804490000007	149.8724
dasabuvir	4.8	493.167141964001	0	6	3.33	3	29	3	38	0	62	23	22	5.1841	26.87489281	126.2569
dasatinib	1.991	487.155721752001	0	8	2.67	2	22	3	36	1	59	17	17	3.3489	11.21513121	132.8439
daunorubicin	0.564	527.179146128001	0	4	3.22	0	19	3	42	1	67	12	12	-0.0464000000000026	0.00215296000000024	130.3791
daunorubicin_liposomal	0.564	527.179146128001	0	4	3.22	0	19	3	42	1	67	12	12	-0.0464000000000026	0.00215296000000024	130.3791
deanol	-0.646	89.1364000138411	0	2	1.68	2	0	5	5	1	17	0	0	-0.2193	0.0480924899999999	26.2804
debrisoquin	2.056	175.230698388723	0	1	2.23	0	6	3	14	3	26	6	6	1.0825	1.17180625	52.9149
decanoic_acid	4.156	172.14632988	0	8	2.34	10	3	11	11	0	32	0	0	-2.1697	4.70759809	38.0484
decitabine	-2.291	228.085854864	0	2	1.46	0	8	2	17	0	28	6	6	-2.2504	5.06430016	48.391
deferasirox	4.326	373.10625596	0	4	3	0	28	3	31	0	43	23	23	4.3488	18.91206144	101.5838
deferiprone	1.321	139.063328528	0	0	1.9	0	8	0	10	0	19	6	6	1.414	1.999396	33.9996
deferoxamine	-2.156	560.353362496001	2	28	2.67	5	4	31	38	1	87	0	0	-7.6781	58.9532196100001	127.2222
deflazacort	1.915	441.215137712001	0	4	3.44	2	6	6	36	0	63	0	0	-0.247300000000003	0.0611572900000016	115.7018
degarelix	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
delavirdine	2.911	456.194359756001	0	7	2.78	3	16	3	35	0	60	16	15	1.6294	2.65494436000001	126.546
demecarium	5.508	556.398856144001	2	19	4.1	10	11	16	41	4	92	12	12	-0.952999999999999	0.908208999999998	145.3572
demeclocycline	0.731	464.098643312	1	2	2.56	0	12	3	35	1	53	6	6	-1.3175	1.73580625	110.2603
deoxycholate	5.756	392.292659760001	1	4	3.66	5	3	6	31	0	68	0	0	0.299899999999995	0.0899400099999969	103.7379
dequalinium	9.686	456.325297280001	2	11	4.32	10	11	10	37	2	74	22	20	-1.9328	3.73571584	122.3232
deserpidine	3.716	578.262816176001	0	9	3.88	0	12	4	47	1	80	16	15	3.7558	14.10603364	152.1291
desflurane	2.466	168.000984004	0	3	1.02	2	0	6	9	0	12	0	0	2.2362	5.00059044	18.1174
desipramine	3.791	266.178298704	0	4	3.22	3	13	5	22	1	42	12	12	2.9688	8.81377343999999	83.7357
deslanoside	0.636999999999999	942.482430148002	2	10	4.54	0	5	2	74	0	140	0	0	-5.4251	29.43171001	216.8773
desloratadine	3.195	310.123676288001	0	0	3.22	0	14	0	25	1	41	12	12	3.4219	11.70939961	91.7104
desmopressin	-1.437	1068.426955488	3	23	3.44	5	7	12	77	3	138	12	12	-5.5286	30.56541796	246.0632
desogestrel	5.492	310.229665580001	1	1	3.77	0	2	2	26	0	53	0	0	1.7439	3.04118720999999	91.9937
desonide	1.404	416.219888744001	0	2	3.44	2	6	4	34	0	62	0	0	-0.889000000000005	0.790321000000008	110.9133
desoximetasone	2.289	376.204987628001	0	2	3.33	2	6	4	30	0	56	0	0	-0.343499999999999	0.117992249999999	100.0493
desvenlafaxine	1.625	397.210052332001	0	6	2.78	4	8	6	27	1	59	6	6	0.1343	0.0180364899999999	96.1355
dexamethasone	2.938	482.246852440001	0	5	3.99	2	6	5	39	0	70	6	6	1.048	1.098304	130.6591
dexbrompheniramine	3.414	318.073160708001	0	5	2.89	3	6	5	20	1	38	12	12	3.344	11.182336	82.934
dexchlorpheniramine	3.238	274.123676288	0	5	2.89	3	6	5	20	1	38	12	12	3.26	10.6276	80.116
dexetimide	3.466	362.199428072001	0	4	3.55	0	6	0	30	1	53	12	12	1.4834	2.20047556000001	101.2729
dexfenfluramine	3.5	231.123484172	0	5	2.34	3	6	5	16	1	32	6	6	2.6121	6.82306641	59.0233
dexketoprofen	3.217	254.094294308	0	4	2.89	3	14	4	20	0	33	12	12	3.1334	9.81819555999999	72.746
dexlansoprazole	1.82	369.075882348	0	6	2.23	2	11	4	27	0	39	16	15	3.3421	11.16963241	79.5519
dexmedetomidine	3.129	200.131348512	0	2	2.67	0	6	2	16	0	31	11	11	2.8151	7.92478801000001	63.5789
dexmethylphenidate	2.505	233.141578848	0	4	2.67	2	6	4	18	1	36	6	6	0.217500000000001	0.0473062500000005	61.352
dexpanthenol	-1.234	205.131408088	0	7	1.9	4	3	10	13	0	33	0	0	-1.5118	2.28553924	49.131
dexrazoxane	-2.616	268.117154992	0	3	1.79	3	5	3	20	2	35	0	0	-2.2849	5.22076801	62.8188
dextran_70	-5.97	504.437829105719	4	11	1.68	6	2	8	35	0	66	0	0	-6.1777	38.16397729	102.2473
dextran	-5.97	504.169034944001	3	11	1.68	6	1	8	35	0	66	0	0	-6.2844	39.49368336	102.1722
dextroamphetamine	1.768	281.162708216001	0	7	2.56	6	6	8	19	1	43	6	6	0.00159999999999905	2.55999999999695e-06	73.3414
dextromethorphan	3.612	271.19361442	0	1	3.22	0	7	2	23	1	45	6	6	0.962799999999998	0.926983839999996	78.1851
dextromoramide	4.112	392.246378264001	0	7	3.77	5	6	6	32	1	61	12	12	1.7598	3.09689604	114.0317
dezocine	3.295	245.177964356	0	0	3	0	7	0	20	1	41	6	6	0.191999999999999	0.0368639999999997	68.1823
diacetyl_benzoyl_lathyrol	5.897	522.630395938793	2	7	4.1	2	9	3	41	0	76	6	6	5.0833	25.83993889	140.9691
diatrizoate	3.349	613.769650768	0	5	1.68	0	15	3	20	0	29	6	6	1.8811	3.53853721	94.9527
diazepam	2.918	284.071640716	0	1	2.78	0	17	0	22	0	33	12	12	3.4262	11.73884644	79.6617
diazoxide	1.938	229.991676144	0	0	1.68	0	12	0	15	2	21	6	6	0.8637	0.745977689999999	50.9256
dibasic_potassium_phosphate	-2.247	173.888658502	0	0	0.69	0	5	3	4	2	8	0	0	NA	NA	NA
dibenzepin	NA	287.315990490597	NA	3	3	2	16	4	24	NA	35	12	12	0.445300000000001	0.198292090000001	54.8096
dibucaine	4.222	343.225977168001	0	11	3.11	4	14	8	26	1	54	11	10	1.8019	3.24684360999999	98.5345
dichloralphenazone	2.925	515.934687756	0	3	1.68	2	12	4	27	0	46	11	11	4.8351	23.37819201	110.4562
dichloroacetate	0.09	127.934097558909	0	1	1.24	2	3	4	5	0	7	0	0	0.282	0.079524	20.3234
diclofenac	3.905	295.016683952	0	4	2.45	2	13	3	20	0	30	12	12	4.8577	23.59724929	75.161
dicloxacillin	3.658	469.026597004	0	5	2.34	0	14	3	33	0	47	11	11	3.7365	13.96143225	110.3965
dicumarol	3.029	336.063388104	0	2	2.89	0	12	0	28	0	37	22	20	3.8942	15.16479364	80.0524
dicyclomine	5.498	309.266779360001	1	8	3.22	2	3	8	23	1	57	0	0	-1.1172	1.24813584	80.1224
didanosine	-0.403	236.090940244	0	2	1.79	0	10	2	19	0	29	10	9	-1.6475	2.71425625	51.148
dienestrol	5.908	266.334989566187	1	3	3.22	6	18	6	21	0	38	12	12	4.642	21.548164	83.7836
dienogest	1.982	311.188529040001	0	1	3.33	2	6	3	26	0	48	0	0	0.5574	0.31069476	90.4978
diethylamine_salicylate	2.33	211.25800566945	0	3	2.23	2	10	5	14	1	32	6	6	1.6488	2.71854144	58.6999
diethylcarbamazine	0.123	199.168462292	0	4	2.12	0	4	5	14	1	35	0	0	0.2396	0.0574081600000002	57.3671
diethylene_glycol	-1.398	106.120565908118	0	4	1.57	2	0	7	6	0	17	0	0	-1.0283	1.05740089	25.5971
diethylpropion	2.796	205.146664228	0	5	2.67	3	8	6	15	1	34	6	6	2.1728	4.72105984	63.1369
diethylstilbestrol	5.556	268.14632988	1	4	3.22	6	16	6	21	0	40	12	12	3.7588	14.12857744	83.0116
difenoxin	5.548	424.215078136001	1	7	4.1	4	6	5	35	1	60	18	18	4.8927	23.93851329	125.8402
diflorasone	2.118	494.211609804001	0	6	3.33	2	6	6	38	0	67	0	0	0.1811	0.0327972099999999	119.0033
diflucortolone	2.218	394.195565816001	0	2	3.22	2	6	4	31	0	56	0	0	0.0233999999999996	0.000547559999999983	99.4543
diflunisal	3.922	250.044150556	0	2	2.34	0	16	3	19	0	26	12	12	3.3605	11.29296025	60.4271
difluprednate	2.643	508.227259868001	0	8	3.44	4	6	6	39	0	70	0	0	0.284699999999998	0.0810540899999987	122.4413
digitoxin	3.415	764.434692108002	1	7	4.54	0	5	0	61	0	118	0	0	-3.1051	9.64164601000002	183.3669
digoxin	2.174	780.429606728002	2	7	4.43	0	5	0	62	0	119	0	0	-3.67820000000001	13.52915524	184.464
dihematoporphyrin_ether	8.072	1179.36473662424	5	18	6.85	3	24	5	96	0	161	44	40	14.1413	199.97636569	330.7603
dihydralazine	0.17	190.09669432	0	2	1.68	0	14	2	15	0	24	11	10	0.0681000000000002	0.00463761000000002	59.968
dihydrocodeine	1.065	301.167793596001	0	1	3	0	8	2	26	1	45	6	6	0.636000000000001	0.404496000000001	80.4599
dihydroergocristine	2.948	611.310769412001	0	6	4.21	0	9	3	52	1	86	16	15	1.2634	1.59617956	162.9157
dihydroergocryptine	2.101	673.314534464002	1	6	3.55	3	9	3	52	1	94	10	9	0.0435000000000027	0.00189225000000024	167.7138
dihydroergotamine	2.293	583.279469284001	0	5	3.99	0	9	3	50	1	80	16	15	0.869200000000001	0.755508640000003	154.4715
dihydroergotoxine	7.423	2713.22683772796	4	23	10.04	4	9	4	211	4	374	46	42	-0.105299999999994	0.0110880899999987	676.7723
dihydrotachysterol	10.061	398.354866092001	1	5	4.43	7	4	7	31	0	75	0	0	1.9596	3.84003216	123.6018
dihydroxyacetone	-1.889	90.078066996027	0	2	1.46	3	2	5	5	0	12	0	0	-1.1612	1.34838544	19.8996
dihydroxyaluminum_sodium_carbonate	-1.292	146.010831459938	0	1	0.8	0	4	4	4	1	12	0	0	-0.3668	0.13454224	6.2928
diloxanide	1.663	234.079478074067	0	3	1.9	2	10	5	14	0	23	6	6	2.0786	4.32057796	55.6885
diltiazem	2.839	414.161328312001	0	7	3.11	2	9	4	31	1	55	12	12	3.4759	12.08188081	114.1132
dimenhydrinate	3.762	469.188067436001	0	6	3.11	2	11	6	35	1	61	22	21	4.552	20.720704	122.9321
dimethicone	4.392	236.531429386061	0	4	1.79	0	0	7	12	0	37	0	0	5.0666	25.67043556	48.8118
dimethindene	2.447	408.204907376001	0	7	3.44	4	8	6	31	1	58	12	12	3.6031	12.98232961	119.2845
dimethyl_fumarate	0.226	144.042258736	0	4	1.68	4	8	8	9	0	18	0	0	0.276799999999999	0.0766182399999996	34.1452
dimethyl_sulfoxide	2.774	693.091816248001	0	6	3.11	0	29	3	44	0	70	23	22	4.3231	18.68919361	147.4554
dinoprost	3.203	354.240624188001	1	12	3.11	8	3	8	25	0	59	0	0	-2.7724	7.68620176	88.5843
dinoprostone	2.79	352.224974124001	1	12	3.11	8	3	8	25	0	57	0	0	-2.0413	4.16690569	90.4242
diosmin	-0.0789999999999998	608.174120324001	1	7	2.89	0	21	2	47	0	75	17	16	-0.0498	0.00248004	136.3676
diphenhydramine	3.158	255.162314292	0	6	3.11	2	6	6	20	1	40	12	12	3.3849	11.45754801	79.927
diphenidol	4.31	309.209264484001	0	6	3.55	4	6	5	25	1	50	12	12	1.7548	3.07932303999999	89.1946
diphenoxylate	6.292	452.246378264001	1	9	4.32	4	6	5	37	1	66	18	18	5.3941	29.09631481	134.9031
diphenylpyraline	3.701	281.39272751157	0	4	3.33	0	6	2	23	1	44	12	12	3.357	11.269449	87.359
dipipanone	5.456	349.509933026116	1	7	3.88	7	6	7	28	1	57	12	12	5.2369	27.42512161	109.5296
dipivefrin	1.724	351.204573028001	0	9	2.89	3	12	5	25	1	54	6	6	3.7398	13.98610404	94.7879
dipyridamole	1.76	504.317251760001	2	12	2.78	2	14	7	39	0	76	11	10	-1.5236	2.32135696	133.2863
dipyrone	0.385	311.093977024	0	4	2.01	0	13	5	22	0	38	11	11	2.6868	7.21889424	75.7749
dirithromycin	1.555	834.545305176002	2	12	4.32	2	3	6	61	2	136	0	0	-2.72460000000001	7.42344516000006	206.4986
disopyramide	3.489	339.231062548001	0	8	3.33	4	6	8	26	1	54	12	12	2.0517	4.20947289000001	102.3641
distigmine	5.178	416.242355504001	2	13	3	6	10	12	31	2	62	12	12	-2.8118	7.90621923999999	98.9548
disulfiram	3.24	296.050932640001	0	9	1.9	0	3	10	15	0	36	0	0	4.1574	17.28397476	86.416
dobesilic_acid	1.091	189.993594292	0	1	1.46	0	12	3	12	0	18	6	6	0.8122	0.65966884	38.4475
dobutamine	3.321	301.167793596001	0	7	3	4	8	6	23	1	45	12	12	2.2957	5.27023849	85.739
docetaxel	1.004	861.378299428002	3	14	4.21	3	9	9	63	0	120	12	12	2.4987	6.24350168999998	200.5257
docosahexaenoate	9.57700000000001	356.271530392001	2	16	3.88	22	3	25	25	0	62	0	0	3.4341	11.79304281	120.3321
docosanol	11.093	326.354866092001	2	20	3.77	22	0	23	22	0	69	0	0	-6.1574	37.91357476	71.4075
docusate	5.04	460.189706204001	2	18	2.67	7	3	18	27	1	66	0	0	NA	NA	NA
dofetilide	2.138	441.139212964001	1	11	2.45	2	11	6	30	1	56	12	12	2.203	4.853209	111.8886
dolasetron	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
dolutegravir	2.811	419.129277148	0	4	2.56	0	14	4	33	0	49	12	12	1.2764	1.62919696	95.1594
domiphen	7.501	334.559928016972	2	15	3.66	12	7	16	24	2	64	6	6	5.5758	31.08954564	104.0202
domperidone	2.37	425.161852688001	0	5	3	3	10	3	34	1	54	20	18	3.752	14.077504	103.7582
donepezil	3.666	379.214743788001	0	6	3.66	0	10	2	31	1	57	12	12	2.5778	6.64505284	107.9261
dopamine	0.651	153.078978592	0	2	2.01	2	8	3	11	1	22	6	6	0.6567	0.43125489	42.3714
dopexamine	3.955	356.502510120972	1	13	3.44	6	8	12	27	2	58	12	12	4.2164	17.77802896	108.2516
doripenem	-4.179	420.113726488001	0	7	1.79	0	8	4	29	1	51	0	0	-3.4647	12.00414609	94.9177
dorzolamide	-0.742	324.027219992	0	3	1.57	0	12	3	20	1	35	5	5	-0.371599999999998	0.138086559999999	70.3878
dothiepin	4.556	295.139470672001	0	3	3.33	3	14	5	23	1	42	12	12	3.9847	15.87783409	93.5939
doxacurium	5.738	1035.22447427372	3	29	5.64	4	9	12	79	4	152	24	24	4.77100000000001	22.7624410000001	275.9184
doxapram	3.591	378.230728200001	0	6	3.66	2	6	2	31	1	58	12	12	2.0311	4.12536721	109.7514
doxazosin	2.253	451.185568900001	0	5	2.89	0	14	2	37	0	58	17	16	2.6425	6.98280625000001	120.9019
doxepin	3.994	279.162314292001	0	3	3.33	3	15	5	23	1	42	12	12	3.4265	11.74090225	87.1506
doxercalciferol	8.694	412.334130648001	1	5	4.32	7	6	7	32	0	74	0	0	1.5718	2.47055523999999	125.5043
doxorubicin	-0.0439999999999999	543.174060748001	1	5	3.11	2	19	4	43	1	68	12	12	-0.845800000000004	0.715377640000007	132.1564
doxorubicin_liposome	0.468	579.150738460001	1	5	3	2	19	4	43	1	70	12	12	-0.845800000000004	0.715377640000007	132.1564
doxycycline	-0.12	462.163830412001	1	2	2.67	0	12	3	35	1	59	6	6	-1.5117	2.28523689000001	109.8204
doxylamine	2.509	270.173213324	0	6	3	2	6	7	21	1	42	12	12	2.913	8.485569	83.2199
dronabinol	NA	1327.79694856673	NA	57	5.97	11	9	20	99	NA	213	16	16	NA	NA	NA
dronedarone	7.23	556.297093508001	2	18	3.99	4	22	9	41	1	83	16	15	1.1499	1.32227001	146.1131
droperidol	2.787	379.169605164001	0	6	3.22	4	12	5	31	1	50	16	15	3.2008	10.24512064	100.8806
drospirenone	4.346	366.219494820001	0	0	3.77	0	4	0	33	0	57	0	0	-0.251600000000002	0.0633025600000011	99.5797
droxidopa	-2.794	213.063722452	0	3	1.79	3	8	5	15	1	26	6	6	-0.3907	0.15264649	49.6369
duloxetine	4.05	297.118735228001	0	6	3.11	3	11	6	23	1	40	16	15	3.7298	13.91140804	87.6493
durapatite	-7.208	501.675954882	1	0	-0.85	0	4	3	12	0	22	0	0	NA	NA	NA
dutasteride	6.766	528.221147520001	1	5	3.33	0	9	3	41	0	67	6	6	3.5538	12.62949444	121.2706
dyclonine	3.711	289.204179104001	0	8	3.11	4	9	5	22	1	48	6	6	0.274400000000001	0.0752953600000007	78.4805
dydrogesterone	4.708	312.208930136001	0	1	3.55	0	6	3	26	0	51	0	0	1.3388	1.79238544	93.6793
dyphylline	-1.534	254.101504928	0	3	1.68	3	11	4	19	0	32	10	9	-0.553299999999999	0.306140889999999	55.1307
ebastine	7.395	469.298079488001	1	10	4.65	4	8	5	38	1	74	18	18	5.2727	27.80136529	139.63
echothiophate	0.484	256.113626226	0	8	1.79	2	4	9	14	2	38	0	0	0.0511000000000016	0.00261121000000016	63.9475
econazole	5.465	380.02499614	1	6	2.78	2	6	4	26	0	39	17	17	5.2359	27.41464881	98.1126
edoxaban	-0.219	548.059448868437	2	10	2.67	2	12	4	40	1	67	11	11	1.0577	1.11872929	139.9017
edrophonium	2.305	245.041526232	0	2	2.23	0	8	4	12	2	29	6	6	NA	NA	NA
efavirenz	4.633	315.027390868	0	1	2.23	2	10	3	23	0	30	6	6	3.967	15.737089	67.4682
efinaconazole	1.621	348.390966922064	0	5	2.67	4	6	4	27	1	47	11	11	2.625	6.89062499999999	93.6503
eflornithine	-2.711	182.086684064	0	5	1.46	5	3	7	11	2	24	0	0	-1.4415	2.07792225	35.587
eicosapentaenoate	8.022	302.224580200001	2	13	3.44	20	3	21	21	0	52	0	0	2.1145	4.47111025000001	98.9968
eletriptan	3.906	382.171499072001	0	6	3.33	2	9	4	30	1	53	16	15	2.9781	8.86907961000001	105.6367
eltrombopag	6.362	442.164105184001	1	5	3.33	0	30	3	36	0	55	18	18	4.5985	21.14620225	126.0451
elvitegravir	4.914	447.124878736001	0	7	3.11	4	15	5	33	0	54	17	16	4.9742	24.74266564	111.0575
emedastine	2.676	302.210661452001	0	5	2.78	2	10	5	24	1	48	10	9	2.0441	4.17834481	88.0661
empagliflozin	2.509	450.144530884001	0	6	3.11	0	7	2	34	0	58	12	12	1.7443	3.04258248999999	111.6876
emtricitabine	-0.978	247.0426904	0	2	1.46	0	8	2	17	0	26	6	6	0.3912	0.15303744	52.8641
enalapril	2.11	376.199821996001	0	11	2.89	4	6	9	28	1	55	6	6	-0.569200000000001	0.323988640000001	94.0196
enalaprilat	0.432000000000001	384.189651236001	0	9	2.45	4	6	7	26	1	55	6	6	-1.0706	1.14618436	84.9567
encainide	4.076	352.215078136001	0	7	3.44	2	16	3	28	1	54	12	12	1.7973	3.23028729	98.0794
enflurane	2.488	183.971433464	0	3	1.02	2	0	6	9	0	12	0	0	2.667	7.112889	23.0623
enfuvirtide	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
enoxacin	2.576	320.128468624	0	3	2.23	0	15	3	25	1	40	11	10	1.1823	1.39783329	78.0326
enoximone	2.39	248.061948624	0	3	2.23	0	14	2	18	0	29	11	11	3.1252	9.76687504000001	65.6779
entacapone	2.427	305.10117058	0	6	2.12	3	18	7	22	0	37	6	6	2.2355	4.99746025000001	73.6768
entecavir	-1.081	277.11748934	0	2	1.9	0	11	2	22	0	35	10	9	-1.7652	3.11593104	64.0466
enzalutamide	4.002	464.093009632	0	5	2.56	0	23	4	34	0	48	12	12	4.7023	22.11162529	112.5443
ephedrine	1.388	165.1153641	0	3	2.34	3	6	5	12	1	27	6	6	0.846300000000001	0.716223690000002	49.8529
epigallocatechin_gallate	3.581	458.372577501463	1	4	2.67	0	12	3	36	0	51	18	18	2.894	8.375236	108.9527
epinastine	3.204	249.12659748	0	0	2.89	0	10	0	22	3	34	12	12	2.8926	8.36713475999999	73.7985
epinephrine	-1.961	333.105981188001	1	6	1.79	4	8	6	22	1	42	6	6	-1.1374	1.29367876	74.7199
epirubicin	-0.0440000000000002	543.174060748001	1	5	3.11	2	19	4	43	1	68	12	12	-0.591000000000004	0.349281000000005	132.0062
eplerenone	1.321	414.204238680001	0	2	3.44	0	4	4	35	0	60	0	0	0.661000000000001	0.436921000000001	106.2243
epoprostenol	2.976	352.224974124001	0	10	3.11	8	3	8	26	0	57	0	0	-2.913	8.48556900000001	86.9665
eprazinone	3.564	380.246378264001	0	9	3.66	3	8	5	30	2	60	12	12	3.7732	14.23703824	115.0643
eprosartan	3.89	424.145678248001	0	10	3.22	4	10	4	32	0	54	16	16	2.9981	8.98860361000001	115.986
eptifibatide	0.574999999999999	831.315614148001	3	11	2.89	4	9	7	60	3	106	10	9	-4.3803	19.18702809	191.4018
erdosteine	0.113	249.012949832	0	6	1.57	2	3	7	15	0	26	0	0	-0.654	0.427716	55.2599
ergocalciferol	9.88000000000001	396.339216028001	1	5	4.43	7	6	7	31	0	73	0	0	2.1449	4.60059601	124.4072
ergonovine	1.186	300.183778008001	0	4	3	3	8	6	24	1	46	6	6	0.4144	0.17172736	86.353
ergotamine	2.338	581.263819220001	0	5	3.99	0	11	3	50	1	78	16	15	1.3851	1.91850201000001	155.9018
eribulin	0.56	729.408811708002	1	4	4.54	3	2	4	60	1	111	0	0	-4.8867	23.87983689	167.5928
erlotinib	2.704	393.168856216001	0	10	3.11	2	21	5	31	0	52	17	16	3.6944	13.64859136	109.3627
ertapenem	0.26	475.141321140001	0	8	2.67	0	12	3	36	1	58	6	6	-1.35	1.82249999999999	116.5857
erythromycin	-3.706	1091.572367348	3	15	3.99	6	3	8	77	1	164	0	0	-7.04700000000001	49.6602090000001	252.1651
escin	1.717	1116.535253568	3	16	4.76	4	5	5	85	0	162	0	0	-4.40730000000001	19.4242932900001	263.9488
escitalopram	3.537	324.163791512001	0	5	3.22	3	8	5	26	1	45	12	12	3.174	10.074276	91.6136
eslicarbazepine	1.244	254.105527688	0	1	2.67	0	16	3	21	0	33	12	12	2.225	4.950625	70.6471
esmolol	1.679	295.178358280001	0	10	2.67	3	7	7	21	1	46	6	6	0.9356	0.875347360000001	81.5737
esomeprazole	0.536	345.114712468001	0	5	2.56	0	12	3	26	0	43	16	15	2.5497	6.50097009	85.7564
estazolam	5.649	294.067224032	1	1	2.67	0	19	0	24	0	32	17	17	3.4997	12.24790009	84.3544
estradiol	5.669	384.230059504001	1	6	3.66	3	9	4	31	0	60	6	6	1.808	3.26886400000001	105.4986
estramustine	5.735	439.168099212001	1	7	3.33	2	10	7	32	0	60	6	6	2.8087	7.88879569000001	113.4568
estriol	3.631	288.172544628001	0	0	3.11	0	7	0	24	0	45	6	6	1.1461	1.31354520999999	79.8376
estrogenic_substances	3.625	270.161979944	0	0	3.22	0	7	0	23	0	42	6	6	1.9385	3.75778225	77.8078
estrogens	4.852	310.193280072001	0	0	3.55	3	7	3	26	0	49	6	6	2.9103	8.46984608999999	91.2975
estrone	3.625	270.161979944	0	0	3.22	0	7	0	23	0	42	6	6	1.9385	3.75778225	77.8078
estropipate	1.007	436.203193124001	0	2	3	0	11	3	33	2	62	6	6	0.751300000000001	0.564451690000002	113.2484
eszopiclone	0.291	388.105066084	0	4	2.23	0	15	3	30	1	44	12	12	1.0889	1.18570321	96.6337
ethacrynate	2.856	323.993208472	0	6	2.12	4	11	5	19	1	31	6	6	NA	NA	NA
ethambutol	-0.344	204.183778008	0	9	2.12	4	0	10	13	2	38	0	0	-2.2892	5.24043664	54.9944
ethamsylate	1.761	263.082743644	0	3	1.79	0	12	5	16	1	34	6	6	1.2246	1.49964516	61.6534
ethanol	2.2	593.277086336001	2	13	3.33	4	11	10	43	0	84	12	12	0.860700000000004	0.740804490000007	149.8724
ethanolamine	6.917	343.308644172001	2	16	3.22	18	3	19	22	1	65	0	0	-3.5297	12.45878209	85.1281
ethanolamine_oleate	6.917	343.545206832361	2	16	3.22	18	3	19	22	1	65	0	0	5.6484	31.90442256	103.6133
